,name,text
949,Rise of the Ants,"Create two 3/3 green Insect creature tokens. You gain 2 life.
Flashback {6}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
950,Shadowbeast Sighting,"Create a 4/4 green Beast creature token.
Flashback {6}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
951,Storm the Festival,"Look at the top five cards of your library. You may put up to two permanent cards with mana value 5 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.
Flashback {7}{G}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
952,Tapping at the Window,"Look at the top three cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest into your graveyard.
Flashback {2}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
953,Angelfire Ignition,"Put two +1/+1 counters on target creature. It gains vigilance, trample, lifelink, indestructible, and haste until end of turn.
Flashback {2}{R}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
954,Can't Stay Away,"Return target creature card with mana value 3 or less from your graveyard to the battlefield. It gains ""If this creature would die, exile it instead.""
Flashback {3}{W}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
955,Croaking Counterpart,"Create a token that's a copy of target non-Frog creature, except it's a 1/1 green Frog.
Flashback {3}{G}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
956,Dire-Strain Rampage,"Destroy target artifact, enchantment, or land. If a land was destroyed this way, its controller may search their library for up to two basic land cards, put them onto the battlefield tapped, then shuffle. Otherwise, its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle.
Flashback {3}{R}{G}"
957,Diregraf Rebirth,"This spell costs {1} less to cast for each creature that died this turn.
Return target creature card from your graveyard to the battlefield.
Flashback {5}{B}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
958,Ghoulcaller's Harvest,"Create X 2/2 black Zombie creature tokens with decayed, where X is half the number of creature cards in your graveyard, rounded up. (A creature with decayed can't block. When it attacks, sacrifice it at end of combat.)
Flashback {3}{B}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
959,Hallowed Respite,"Exile target nonlegendary creature, then return it to the battlefield under its owner's control. If it entered under your control, put a +1/+1 counter on it. Otherwise, tap it.
Flashback {1}{W}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
960,Hungry for More,"Create a 3/1 black and red Vampire creature token with trample, lifelink, and haste. Sacrifice it at the beginning of the next end step.
Flashback {1}{B}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
961,Join the Dance,"Create two 1/1 white Human creature tokens.
Flashback {3}{G}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
962,Rite of Oblivion,"As an additional cost to cast this spell, sacrifice a nonland permanent.
Exile target nonland permanent.
Flashback {2}{W}{B} (You may cast this card from your graveyard for its flashback cost and any additional costs. Then exile it.)"
963,Unnatural Moonrise,"It becomes night. Until end of turn, target creature gets +1/+0 and gains trample and ""Whenever this creature deals combat damage to a player, draw a card.""
Flashback {2}{R}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
964,Wake to Slaughter,"Choose up to two target creature cards in your graveyard. An opponent chooses one of them. Return that card to your hand. Return the other to the battlefield under your control. It gains haste. Exile it at the beginning of the next end step.
Flashback {4}{B}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
965,Winterthorn Blessing,"Put a +1/+1 counter on up to one target creature you control. Tap up to one target creature you don't control, and that creature doesn't untap during its controller's next untap step.
Flashback {1}{G}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
966,Arm the Cathars,"Until end of turn, target creature gets +3/+3, up to one other target creature gets +2/+2, and up to one other target creature gets +1/+1. Those creatures gain vigilance until end of turn."
967,By Invitation Only,Choose a number between 0 and 13. Each player sacrifices that many creatures.
968,Sanctify,Destroy target artifact or enchantment. You gain 3 life.
969,Consuming Tide,Each player chooses a nonland permanent they control. Return all nonland permanents not chosen this way to their owners' hands. Then you draw a card for each opponent who has more cards in their hand than you.
970,Inspired Idea,"Cleave {3}{U}{U} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)
Draw three cards. [Your maximum hand size is reduced by three for the rest of the game.]"
971,Witness the Future,"Target player shuffles up to four target cards from their graveyard into their library. You look at the top four cards of your library, then put one of those cards into your hand and the rest on the bottom of your library in a random order."
