,name,text
751,Strength of the Tajuru,"Multikicker {1} (You may pay an additional {1} any number of times as you cast this spell.)
Choose target creature, then choose another target creature for each time this spell was kicked. Put X +1/+1 counters on each of them."
752,Deathsprout,"Destroy target creature. Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
753,Growth Spiral,Draw a card. You may put a land card from your hand onto the battlefield.
754,Temur Charm,"Choose one —
• Target creature you control gets +1/+1 until end of turn. It fights target creature you don't control.
• Counter target spell unless its controller pays {3}.
• Creatures with power 3 or less can't block this turn."
755,Commander's Insight,Target player draws X cards plus an additional card for each time they've cast a commander from the command zone this game.
756,Perplexing Test,"Choose one —
• Return all creature tokens to their owners' hands.
• Return all nontoken creatures to their owners' hands."
757,Theoretical Duplication,"Whenever a nontoken creature enters the battlefield under an opponent's control this turn, create a token that's a copy of that creature."
758,Stinging Study,"You draw X cards and you lose X life, where X is the mana value of a commander you own on the battlefield or in the command zone."
759,Inkshield,"Prevent all combat damage that would be dealt to you this turn. For each 1 damage prevented this way, create a 2/1 white and black Inkling creature token with flying."
760,Reinterpret,Counter target spell. You may cast a spell with an equal or lesser mana value from your hand without paying its mana cost.
761,Dispatch,"Tap target creature.
Metalcraft — If you control three or more artifacts, exile that creature."
762,Aetherspouts,"For each attacking creature, its owner puts it on the top or bottom of their library."
763,Dig Through Time,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
Look at the top seven cards of your library. Put two of them into your hand and the rest on the bottom of your library in any order."
764,Traumatic Visions,"Counter target spell.
Basic landcycling {1}{U} ({1}{U}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
765,Suffer the Past,"Exile X target cards from target player's graveyard. For each card exiled this way, that player loses 1 life and you gain 1 life."
766,Call to Glory,Untap all creatures you control. Samurai creatures you control get +1/+1 until end of turn.
767,Hold the Line,Blocking creatures get +7/+7 until end of turn.
768,Reciprocate,Exile target creature that dealt damage to you this turn.
769,Hisoka's Defiance,Counter target Spirit or Arcane spell.
770,Squelch,"Counter target activated ability. (Mana abilities can't be targeted.)
Draw a card."
771,Thoughtbind,Counter target spell with mana value 4 or less.
772,Rend Spirit,Destroy target Spirit.
773,Hanabi Blast,"Hanabi Blast deals 2 damage to any target. Return Hanabi Blast to its owner's hand, then discard a card at random."
774,Sideswipe,You may change any targets of target Arcane spell.
775,Yamabushi's Flame,"Yamabushi's Flame deals 3 damage to any target. If a creature dealt damage this way would die this turn, exile it instead."
776,Blood of the Martyr,"Until end of turn, if damage would be dealt to any creature, you may have that damage dealt to you instead."
777,Indestructible Aura,Prevent all damage that would be dealt to target creature this turn.
778,Enchantment Alteration,Attach target Aura attached to a creature or land to another permanent of that type.
779,Flash Flood,"Choose one —
• Destroy target red permanent.
• Return target Mountain to its owner's hand."
780,Teleport,"Cast this spell only during the declare attackers step.
Target creature can't be blocked this turn."
781,Transmutation,Switch target creature's power and toughness until end of turn.
782,Active Volcano,"Choose one —
• Destroy target blue permanent.
• Return target Island to its owner's hand."
783,Storm Seeker,Storm Seeker deals damage to target player equal to the number of cards in that player's hand.
784,Astral Confrontation,"This spell costs {1} less to cast for each opponent you're attacking.
Exile target creature."
785,Contraband Livestock,"Exile target creature, then roll a d20.
1—9 | Its controller creates a 4/4 green Ox creature token.
10—19 | Its controller creates a 2/2 green Boar creature token.
20 | Its controller creates a 0/1 white Goat creature token."
786,Guiding Bolt,"Destroy target creature with power 4 or greater.
Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
787,Lae'zel's Acrobatics,"Exile all nontoken creatures you control, then roll a d20.
1—9 | Return those cards to the battlefield under their owner's control at the beginning of the next end step.
10—20 | Return those cards to the battlefield under their owner's control, then exile them again. Return those cards to the battlefield under their owner's control at the beginning of the next end step."
788,Your Temple Is Under Attack,"Choose one —
• Pray for Protection — Creatures you control gain indestructible until end of turn.
• Strike a Deal — You and target opponent each draw two cards."
789,You're Confronted by Robbers,"Choose one —
• Stall for Time — Tap up to three target creatures.
• Call for Aid — Create three 1/1 white Soldier creature tokens."
790,Bane's Contingency,"Counter target spell. If that spell targets a commander you control, instead counter that spell, scry 2, then draw a card."
791,Blur,"Exile target creature you control, then return that card to the battlefield under its owner's control.
Draw a card."
792,Draconic Lore,"This spell costs {2} less to cast if you control a Dragon.
Draw three cards."
